,Date,Unix,Ticker,DE Ratio,Price,stock_p_changeSP500,sp500_p_change,difference,status,pct change,sp500,sp500 pct change
0,2004-01-30 19:01:02,1075507262.0,a,0.407,36.65,,,0.0,underperform,0.0,86.41047641959851,0.0
1,2004-04-13 04:07:11,1081843631.0,a,0.375,31.87,,,-13.151629366150246,underperform,-13.042291950886762,86.50495540103256,0.10933741526348358
2,2004-12-13 21:37:34,1102991854.0,a,0.323,23.84,,,-42.55120138400588,underperform,-34.95225102319236,92.97676562926627,7.598950360813515
3,2005-01-22 05:17:19,1106389039.0,a,0.322,21.8,,,-46.695981424870894,underperform,-40.518417462482944,91.74853887062336,6.177563962387949
4,2006-01-09 02:35:16,1136792116.0,a,0.0,34.65,,,-23.147819710507907,underperform,-5.457025920873124,101.69717561563067,17.69079378963478
5,2006-06-21 11:01:16,1150902076.0,a,0.368,32.18,,,-27.405287396304693,underperform,-12.19645293315143,99.55250273707733,15.208834463153265
6,2006-08-19 10:42:01,1155998521.0,a,0.396,31.8,,,-32.85483287588027,underperform,-13.23328785811732,103.36554695033347,19.621545017762948
7,2007-02-20 17:46:56,1172011616.0,a,0.411,32.48,,,-47.31710744213396,underperform,-11.377899045020468,117.46571761697663,35.93920839711349
8,2007-04-12 05:07:51,1176368871.0,a,0.411,34.62,,,-40.72366154148153,underperform,-5.538881309686224,116.81381264508155,35.18478023179531
9,2008-01-23 19:28:50,1201134530.0,a,0.645,32.16,,,-39.148027347181966,underperform,-12.251023192360169,109.65230585237923,26.897004154821797
10,2008-02-14 04:44:34,1202982274.0,a,0.645,32.68,,,-38.97564714175884,underperform,-10.832196452933148,110.72936624072757,28.143450688825695
11,2008-04-26 04:49:23,1209199763.0,a,0.67,31.53,,,-45.174884673639035,underperform,-13.969986357435191,113.37477772088153,31.204898316203845
12,2008-12-06 19:21:33,1228609293.0,a,0.83,17.26,,,-36.99727238202526,underperform,-52.905866302864936,72.66378462094166,-15.908593920839682
13,2009-08-02 05:46:24,1249206384.0,a,0.83,23.22,,,-33.66995136349574,underperform,-36.643929058663026,83.84064812459187,-2.973977695167283
14,2011-08-02 06:45:37,1312281937.0,a,54.36,40.79,,,-18.971339998193265,underperform,11.296043656207368,112.56466683511378,30.267383654400632
15,2011-11-08 05:04:16,1320746656.0,a,51.62,37.74,,,-30.4569807981542,underperform,2.9740791268758624,115.29841457293846,33.43105992503006
16,2013-05-14 00:28:58,1368505738.0,a,44.12,43.04,,,-60.69781403664908,underperform,17.435197817189636,153.92558420348192,78.13301185383871
17,2013-09-06 06:09:52,1378462192.0,a,56.39,47.68,,,-49.85505481536071,underperform,30.095497953615286,155.49612996737318,79.950552768976
18,2004-04-13 04:20:10,1081844410.0,aa,0.595,34.26,,,0.0,underperform,0.0,86.50495540103256,0.0
19,2004-09-09 16:15:45,1094760945.0,aa,0.561,32.89,,,-3.725787459861017,underperform,-3.9988324576765835,86.26875794744745,-0.2730449978155665
20,2004-11-24 10:37:20,1101310640.0,aa,0.53,33.58,,,-7.740610503749404,underperform,-1.9848219497956794,91.48399772260797,5.755788553953725
21,2004-12-05 00:36:42,1102225002.0,aa,0.53,32.86,,,-10.639478079507615,underperform,-4.086398131932278,92.17369428707661,6.553079947575337
22,2005-01-13 07:18:32,1105618712.0,aa,0.457,29.43,,,-19.61358251104229,underperform,-14.098073555166371,91.27614396345298,5.5155089558759185
23,2005-02-07 03:48:37,1107766117.0,aa,0.457,29.37,,,-21.994917441904107,underperform,-14.27320490367775,93.18461938842121,7.721712538226358
24,2005-05-22 08:48:23,1116766103.0,aa,0.543,27.45,,,-27.315153796540045,underperform,-19.87740805604203,92.93897403669257,7.437745740498018
25,2006-06-20 04:32:21,1150792341.0,aa,0.526,29.1,,,-29.30332305804278,underperform,-15.061295971978975,98.82501458003503,14.242027086063802
26,2007-01-25 19:09:37,1169770177.0,aa,0.494,31.46,,,-40.44671500567317,underperform,-8.172796263864557,114.42349441479959,32.273918741808615
27,2007-02-23 09:03:42,1172239422.0,aa,0.494,34.75,,,-33.67242557300246,underperform,1.4302393461763048,116.87050003394205,35.102664919178764
28,2007-05-16 21:12:47,1179364367.0,aa,0.494,39.04,,,-27.572552503062397,underperform,13.952130764740225,122.42586414226525,41.52468326780262
29,2007-06-22 06:39:12,1182508752.0,aa,0.503,40.34,,,-23.395776955040397,underperform,17.746643315820215,122.09518770724591,41.14242027086061
30,2007-10-11 20:57:59,1192150679.0,aa,0.47,38.08,,,-35.30038583983861,underperform,11.150029188558088,126.68686620494165,46.4504150283967
31,2008-01-23 16:05:53,1201122353.0,aa,0.499,28.04,,,-44.91369291494619,underperform,-18.155283129013426,109.65230585237923,26.758409785932763
32,2008-10-28 00:52:22,1225169542.0,aa,0.672,9.04,,,-63.940439858353464,underperform,-73.61354349095154,78.13724141775793,-9.673103632598076
33,2008-12-05 01:03:15,1228456995.0,aa,0.672,8.06,,,-61.06336250658941,underperform,-76.47402218330413,73.17397112068558,-15.410659676714724
34,2008-12-06 09:33:46,1228574026.0,aa,0.672,8.15,,,-60.210888288540616,underperform,-76.21132516053707,72.66378462094166,-16.00043687199646
35,2008-12-18 10:54:07,1229615647.0,aa,0.672,10.35,,,-55.67887689467411,underperform,-69.78984238178634,74.29827099975103,-14.110965487112233
36,2009-03-09 18:17:50,1236637070.0,aa,0.672,5.49,,,-50.030527482768065,underperform,-83.97548161120841,57.14088797132428,-33.944954128440344
37,2011-09-03 09:21:23,1315056083.0,aa,48.26,12.04,,,-91.59130332009113,underperform,-64.85697606538237,109.63147326948447,26.734327254708766
38,2011-11-02 22:04:47,1320285887.0,aa,50.93,10.7,,,-97.99914655863121,underperform,-68.76824284880327,111.791135618538,29.23090370982794
39,2011-11-05 21:29:24,1320542964.0,aa,50.93,10.93,,,-97.3278097226709,underperform,-68.09690601284296,111.791135618538,29.23090370982794
40,2012-01-02 19:42:06,1325551326.0,aa,50.93,8.65,,,-106.38512129648537,underperform,-74.75189725627554,113.86926174892479,31.63322404020983
41,2012-03-09 07:34:06,1331296446.0,aa,54.5,9.77,,,-115.77586744564337,underperform,-71.48277875072971,124.82067202230742,44.29308869491366
42,2012-03-19 02:24:48,1332138288.0,aa,54.5,10.54,,,-117.61505825152841,underperform,-69.23525977816696,128.3558784935233,48.37979847336144
43,2012-05-19 11:51:52,1337442712.0,aa,55.28,8.43,,,-115.3240437692811,underperform,-75.3940455341506,121.04638256596529,39.9299982351305
44,2012-07-29 16:51:57,1343595117.0,aa,56.42,8.45,,,-119.52130224190478,underperform,-75.33566841798014,124.72771823408212,44.18563382392463
45,2012-11-27 11:38:14,1354034294.0,aa,56.51,8.31,,,-125.12880698761447,underperform,-75.74430823117338,129.2249940253154,49.38449875644108
46,2013-01-22 17:52:37,1358895157.0,aa,53.49,9.16,,,-133.15164007163114,underperform,-73.26328079392877,138.31135388461914,59.888359277702364
