2013_sp500_list
a
aa
aapl
abbv
abc
abt
ace
acn
adbe
adi
adm
adp
adsk
adt
aee
aep
aes
aet
afl
agn
aig
aiv
aiz
akam
all
altr
alxn
amat
amd
amgn
amp
amt
amzn
an
anf
antm
aon
apa
apc
apd
aph
apol
arg
ati
avb
avp
avy
axp
azo
ba
bac
bax
bbby
bbt
bby
bcr
bdx
beam
ben
bf.b
bhi
big
biib
bk
blk
bll
bmc
bms
bmy
brcm
brk.b
bsx
btu
bwa
bxp
c
ca
cag
cah
cam
cat
cb
cbg
cbs
cce
cci
ccl
celg
cern
cf
cfn
chk
chrw
ci
cinf
cl
clf
clx
cma
cmcsa
cme
cmg
cmi
cms
cnp
cnx
cof
cog
coh
col
cop
cost
cov
cpb
crm
csc
csco
csx
ctas
ctl
ctsh
ctxs
cvc
cvh
cvs
cvx
d
dd
de
dell
df
dfs
dg
dgx
dhi
dhr
dis
disca
dlph
dltr
dnb
dnr
do
dov
dow
dps
dri
dte
dtv
duk
dva
dvn
ea
ebay
ecl
ed
efx
eix
el
emc
emn
emr
eog
eqr
eqt
es
esrx
esv
etfc
etn
etr
ew
exc
expd
expe
f
fast
fcx
fdo
fdx
fe
ffiv
fhn
fis
fisv
fitb
flir
flr
fls
fmc
fosl
foxa
frx
fslr
fti
ftr
gas
gci
gd
ge
ghc
gild
gis
glw
gme
gnw
googl
gpc
gps
grmn
gs
gt
gww
hal
har
has
hban
hcbk
hcn
hcp
hd
hes
hig
hnz
hog
hon
hot
hp
hpq
hrb
hrl
hrs
hsp
hst
hsy
hum
ibm
ice
iff
igt
intc
intu
ip
ipg
ir
irm
isrg
itw
ivz
jbl
jci
jcp
jec
jnj
jnpr
joy
jpm
jwn
k
key
khc
kim
klac
kmb
kmi
kmx
ko
kr
kss
l
lb
ldos
leg
len
lh
life
lll
lltc
lly
lm
lmt
lnc
lo
low
lrcx
lsi
luk
luv
lyb
m
ma
mar
mas
mat
mcd
mchp
mck
mco
mdlz
mdt
met
mhfi
mjn
mkc
mmc
mmm
mnst
mo
molx
mon
mos
mpc
mrk
mro
ms
msft
msi
mtb
mu
mur
mwv
myl
nbl
nbr
ndaq
ne
nee
nem
nflx
nfx
ni
nke
noc
nov
nrg
nsc
ntap
ntrs
nue
nvda
nwl
nyx
oi
oke
omc
orcl
orly
oxy
payx
pbct
pbi
pcar
pcg
pcl
pcln
pcp
pcs
pdco
peg
pep
petm
pfe
pfg
pg
pgr
ph
phm
pki
pld
pll
pm
pnc
pnr
pnw
pom
ppg
ppl
prgo
pru
psa
psx
pwr
px
pxd
qcom
qep
r
rai
rdc
rf
rhi
rht
rl
rok
rop
rost
rrc
rsg
rtn
s
sbux
scg
schw
se
see
shw
sial
sjm
slb
slm
sna
sndk
sni
so
spg
spls
srcl
sre
sti
stj
stt
stx
stz
swk
swn
swy
syk
symc
syy
t
tap
tdc
te
teg
tel
ter
tgt
thc
tif
tjx
tmk
tmo
trip
trow
trv
tsn
tso
tss
twc
twx
txn
txt
tyc
unh
unm
unp
ups
urbn
usb
utx
v
var
wat
wba
wdc
wec
vfc
wfc
wfm
whr
viab
viav
win
vlo
wm
wmb
vmc
wmt
vno
wpx
vrsn
vtr
vz
wu
wy
wyn
wynn
x
xel
xl
xlnx
xom
xray
xrx
xyl
yhoo
yum
zbh
zion
