20130128,54.5900,54.8700,53.5300,54.2800,8325580
20130204,54.6600,55.5000,53.4100,54.1600,13220980
20130211,55.6100,55.6200,54.5900,54.6500,9433200
20130219,54.2500,55.9500,53.9300,55.5800,7661825
20130225,55.3300,55.3700,53.5900,54.6000,7645700
20130304,57.3900,57.5100,55.0000,55.1600,6393880
20130311,57.5800,57.8200,56.7000,57.3900,7844080
20130318,56.7800,57.1900,55.7600,57.0800,6139480
20130325,56.8000,57.1100,55.8700,57.0000,6413775
20130401,57.7000,57.7500,56.1500,56.8900,6969160
20130408,60.5500,60.7300,57.7600,57.8300,8974780
20130415,61.5600,61.5600,58.8400,60.2600,10512000
20130422,61.8700,62.9000,61.1500,61.5900,6724500
20130429,64.8000,64.8500,62.4400,62.8200,7529440
20130506,67.2000,67.4300,64.5100,65.0900,12512180
20130513,66.5800,67.8900,65.6800,66.9600,8085900
20130520,65.4900,66.7100,64.2400,66.5800,7555420
20130528,63.0800,67.1100,63.0700,65.9800,9891900
20130603,64.8500,64.9300,62.0400,63.0600,8404020
20130610,63.8000,64.9700,62.5200,64.9100,6348840
20130617,62.7300,65.5500,61.8200,64.3000,8602200
20130624,63.1500,64.5200,61.8200,62.2500,6885560
20130701,63.8200,64.9200,62.5700,63.8400,6227425
20130708,66.9800,67.0000,64.1600,64.2800,6243500
20130715,65.1600,67.3600,64.7600,67.0200,6591760
20130722,64.9800,65.3300,64.1100,65.1500,5238460
20130729,66.5100,66.5900,64.1000,64.8000,5921640
20130805,64.7300,67.1600,64.1200,66.5000,10510900
20130812,62.1700,64.4300,61.7100,64.2600,7539320
20130819,61.7300,62.3900,61.0900,62.1500,5769120
20130826,60.8300,62.1100,60.4100,61.7600,6039120
20130903,61.3900,61.9900,60.5200,61.4200,8676750
20130909,66.6900,67.0300,61.2700,61.6000,12345800
20130916,65.0100,67.6500,64.9100,67.3200,13394759
20130923,65.1900,65.4800,64.2000,65.0400,7279600
20130930,65.3000,65.4300,63.8300,64.7300,6674660
20131007,66.2100,66.5900,63.1000,64.8100,7527140
20131014,67.1500,67.2700,65.7800,65.8800,6933700
20131021,69.2600,69.8700,67.1600,67.2700,6245940
20131028,69.0100,69.4800,67.9300,69.3500,5090040
20131104,68.5800,69.6200,66.7200,69.4100,8622620
20131111,70.0000,70.1700,67.3000,68.4800,6130540
20131118,70.2000,70.3300,69.0400,70.0600,4719740
20131125,70.5400,71.6900,69.6000,70.5400,6231925
20131202,71.4600,71.4900,69.3200,70.7900,6218420
20131209,69.6200,72.1300,68.8000,71.3600,7529820
20131216,72.4000,73.5600,69.8300,69.9100,8160980
20131223,74.3500,74.7800,72.6600,72.8900,4242600
20131230,76.1100,76.7000,74.8900,74.9900,5633200
20140106,75.3900,76.8400,74.3200,76.5300,7296660
20140113,73.9800,75.1300,73.0500,74.9000,6747080
20140121,72.7200,75.4300,72.7200,73.9900,6979500
20140127,72.6100,73.6300,71.1200,72.4700,7365460
20140203,75.6700,76.7300,69.8500,72.6600,13223780
20140210,79.2300,79.4700,75.5700,75.6700,7250760
20140218,80.1300,80.4500,78.8000,79.5000,6790375
20140224,80.8100,81.5900,79.5900,80.5000,6085120
20140303,82.2100,83.6500,78.8500,80.3000,7486600
20140310,80.0700,82.4300,79.5700,82.1800,7016980
20140317,80.3500,82.3000,79.7600,80.5000,6577780
20140324,78.9900,80.9300,77.2800,80.7100,7112500
20140331,80.4300,82.8500,79.6600,79.7000,6660360
20140407,77.0100,80.9200,76.8100,80.4200,8491000
20140414,79.9900,80.2200,76.3100,77.7000,6487475
20140421,78.2300,80.0600,78.1600,79.9600,5586180
20140428,80.3100,80.5500,76.8800,78.7600,6553540
20140505,81.9500,82.4400,79.8000,80.4200,8581480
20140512,80.3900,82.9400,79.2100,82.0800,6136500
20140519,83.3200,83.3600,80.1400,80.4300,4977760
20140527,84.0100,84.3900,83.2500,83.5600,5681050
20140602,84.6100,84.9900,83.3100,84.2700,5106820
20140609,82.8000,85.8600,81.8000,84.6000,5308720
20140616,82.8200,84.0800,82.5600,82.6400,5930720
20140623,85.3000,85.3900,82.3200,82.8500,8251820
20140630,86.8400,86.9800,85.0700,85.4400,5062400
20140707,86.8900,87.6100,85.6800,86.6100,5641660
20140714,85.8100,87.6300,84.8700,87.4600,6659580
20140721,86.2300,86.9600,85.5000,85.8100,4452440
20140728,85.3800,87.3000,85.2100,86.4300,6084260
20140804,86.8500,87.6200,85.2300,86.1700,8342720
20140811,89.2800,89.4700,86.7800,87.0700,6104040
20140818,90.4900,90.9000,89.5800,89.6600,4499260
20140825,89.8800,91.1400,89.3300,90.9500,3646120
20140902,90.9400,91.2000,90.0100,90.1800,4835450
20140908,89.6700,90.8400,88.7500,90.7600,4432300
20140915,90.4900,91.1500,89.4600,89.7400,6203840
20140922,88.7400,90.6100,87.9100,90.4900,5925920
20140929,88.4500,89.5400,84.6500,88.1200,7225140
20141006,86.2700,89.1800,85.4000,88.7900,7734980
20141013,83.8300,86.3900,78.5400,85.9200,13017920
20141020,88.6100,88.6600,84.1500,84.2300,7793960
20141027,91.3800,91.9800,88.2400,88.4700,5508780
20141103,90.0000,92.0000,88.6500,91.2400,9302460
20141110,90.8000,90.8500,88.9500,90.2400,5738640
20141117,88.9600,90.7800,88.7500,90.5000,6460940
20141124,92.5100,92.9600,89.3200,89.3200,5591925
20141201,93.7600,93.9800,92.1000,92.6300,6017220
20141208,91.4900,94.5000,90.6600,94.2100,8533380
20141215,92.8900,93.2000,90.1300,92.0300,8481500
20141222,95.0300,95.3100,93.2200,93.3900,4542575
20141229,93.7500,95.9300,92.8500,94.7400,4434225
20150105,94.2500,95.2700,91.1600,93.2800,7474540
20150112,95.1800,96.4300,93.2900,94.6900,6845820
20150120,94.7200,95.5300,93.7500,95.2200,6773550
20150126,90.9600,95.0000,90.8300,94.4500,6985860
20150202,102.0200,102.9900,90.0600,91.3000,15385341
20150209,104.1700,104.4100,101.0700,101.8000,5809740
20150217,104.5500,104.6900,102.7300,104.2300,4702650
20150223,104.0800,105.9800,103.9600,104.7600,5088740
20150302,103.8200,106.6400,103.4900,104.3500,4987720
20150309,106.4400,107.3300,102.8700,103.9400,6985600
20150316,108.4300,108.9400,105.7300,106.8400,6002600
20150323,105.4800,108.8500,104.1000,108.6000,5674280
20150330,106.0000,106.9500,104.2500,106.0600,4825575
20150406,106.9500,107.1000,105.0400,105.3100,4060280
20150413,106.6900,108.3000,106.0400,107.0700,5988140
20150420,109.5300,110.4800,106.9700,107.8300,5814700
20150427,110.5200,111.6600,107.6800,111.5000,7160740
20150504,110.1100,113.3000,108.7200,111.4800,9142520
20150511,110.3000,110.6900,107.6700,110.1400,5545820
